md,ms,mean_auc,sd_auc
27,71,0.836178960435943,0.0133348419277654
23,33,0.796992883242349,0.0254218637168672
26,194,0.860045480559992,0.0126254830982275
14,47,0.835653766359257,0.0100439370789496
13,9,0.76815190925987,0.0180206452397804
20,136,0.853966824315948,0.0121198672044465
18,98,0.846857239037111,0.0133442509247678
9,64,0.85075227225175,0.00755299127067433
25,111,0.846414775308124,0.00943294856064944
5,128,0.82133227158535,0.0209520342535845
8,38,0.838615141632003,0.0337444503113076
9,147,0.859660175312142,0.0118602916563652
11,189,0.861315694890821,0.0103079369224908
17,9,0.709892337235529,0.0314665301859457
28,21,0.758526542311241,0.0394063873123733
15,155,0.853771730880329,0.0147141427516113
29,139,0.853235946682138,0.0163035507304892
24,176,0.85638278689368,0.0146810679208443
10,96,0.855166466420066,0.0104924394525243
19,54,0.827053644447297,0.0266157479489633
6,76,0.82926145509372,0.0313792271579697
22,84,0.841127193178026,0.0125553295858929
20,172,0.855527400300958,0.0139658755101337
5,165,0.82133227158535,0.0209520342535845
12,120,0.856943481458651,0.00914523590254715
